parent_hashtag;Instagram_auto_desc;post_date
globalclimatestrike;Photo by Greenpeace Sverige on September 24, 2021. May be an illustration of text that says 'can't believe it's all going to end it could be worse how? dinos እ comics anda we could have been told how to prevent it and done nothing W W'.;2021-09-25
globalclimatestrike;text that says 'REDUCE Carbon footprint Drive less Fly less Go local Reuse bags Wash in cold water Unplug appliances Take short showers Use LED bulbs Plant trees Adjust thermostat'.;2021-09-26
globalclimatestrike;one or more people, people standing and outdoors.;2021-09-24
globalclimatestrike;one or more people, monument and outdoors.;2021-09-24
globalclimatestrike;text that says 'PROTECT CLIMATE UR WATER HEALTH HEALTH'.;2021-09-24
globalclimatestrike;text that says 'PEOPLE POWER WE RISE'.;2021-09-24
globalclimatestrike;Photo by Molly Hoelper on September 24, 2021.;2021-09-24
globalclimatestrike;Photo by Molly Hoelper on September 24, 2021.;2021-09-24
globalclimatestrike;‎one or more people, people standing, outdoors and ‎text that says '‎TE GAS MAYBE IFITWAS FATHER EWARKORE YOU WOULD GIVEASH SHIT! ن‎'‎‎.;2021-09-25
globalclimatestrike;one or more people, people standing and outdoors.;2021-09-25
globalclimatestrike;one or more people, people standing and outdoors.;2021-09-25
globalclimatestrike;one or more people, people standing, outdoors and text that says 'POKOUSAT THE SYSTEM'.;2021-09-25
globalclimatestrike;one or more people, people standing and outdoors.;2021-09-25
globalclimatestrike;outdoors.;2021-10-18
globalclimatestrike;one or more people, people standing and outdoors.;2021-09-24
globalclimatestrike;one or more people and people standing.;2021-09-24
globalclimatestrike;one or more people and people standing.;2021-09-24
globalclimatestrike;Photo by emma☀️🐝🌹 on September 24, 2021.;2021-09-24
climatemarch;one or more people, people standing, outdoors and text.;2021-04-19
climatemarch;one or more people, people standing, outdoors and text that says 'COT HERE IS NO PLANET'.;2020-10-17
climatemarch;one or more people, people standing and outdoors.;2021-11-06
climatemarch;text that says 'me and my crew of staten island sustainability warriors bj's wholesale store mad asf at our collective awakening'.;2021-04-29
climatemarch;one or more people, people standing and outdoors.;2021-11-06
climatemarch;one or more people, people standing and outdoors.;2021-11-06
climatemarch;one or more people, people standing, outdoors and text that says 'NO SECRET Courts that Override Country's Laws So DIRTY FUEL CanSue for FUTURE LOSS of PROFITS UK Putng CORPORATE STOP into TRADE DEALS You COURTS are Signing ZONDON Help Firms FOSSIL FOSSILFUEL AW FUEL Giants Billions SUE they Govemments PHASE OUT to if DIRTY SoClimateProtection ENERGY Protection Can Go Ahead ENERGY REATY NOW! CHARTER EXITthe'.;2021-11-06
climatemarch;one or more people, people standing, outdoors and monument.;2021-11-06
climatemarch;outdoors.;2021-11-06
climatemarch;one or more people, people standing and outdoors.;2021-11-06
climatemarch;one or more people, people standing and outdoors.;2021-11-06
climatemarch;one or more people and outdoors.;2021-11-06
climatemarch;one or more people, people standing and outdoors.;2021-11-06
climatemarch;one or more people, people standing and outdoors.;2021-11-06
climatemarch;African daisy and text.;2021-09-08
climatemarch;Photo by NM Climate Justice on December 17, 2020. May be a Twitter screenshot of one or more people and text that says 'Deb Haaland @DebHaalandNM A voice like mine has never bee a Cabinet secretary or at the head of the Department of Interior. Growing up in my mother's Pueblo household made me fierce. I'll be fierce for all of us, our planet, and al of our protected and I am honored and ready to serve.'.;2020-12-18
climatemarch;Photo by NM Climate Justice on January 25, 2021.;2021-01-26
climatemarch;6 people, ocean and text that says 'COP26 GLOBAL DAY OF ACTION SURF 06/1 1/2021'.;2021-10-15
climaterio;text that says 'alicepinho A importância do magnésio na MENOPAUSA 12 Mg Magnesium 24.3050'.;2021-12-06
climaterio;1 person and text that says 'MACA PERUANA O que a ciência diz'.;2021-12-27
climaterio;one or more people and text that says 'SUPORTE NO CLIMATÉRIO EMENOPAUSA Alivia os sintomas como as ondas de calor e redução de sintomas psicológicos, incluindo ansiedade depressão em mulheres no climatério na menopausa em doses de 3,5 g/dia. Fonte: Beneficial effects of Lepidium meyenii Maca) onpsychological symptoms and measure of sexual dysfunction postmenopausal women are not related to estrogen or androgen content. Menopause. 2008'.;2021-12-27
climaterio;"one or more people and text that says 'LIBIDO Alguns estudos demonstram efeito positivo significativo na disfunção sexual ou desejo sexual em mulheres menopáusicas saudáveis ou homens adultos saudáveis. o Fonte: Shin BC, Lee MS, Yang EJ, Lim HS, Ernst Maca meyenii) for improving sexual function: systematic asystematicreview. review. BMC Complement Altern Med. 2010;10:44. Published2010 ਤ'.";2021-12-27
climaterio;one or more people and text that says 'CONTROLE DA INFLAMAÇÃO Diferentes estudos, ao avaliarem o estado de saúde em consumidores de maca, observaram baixos níveis da citocina interleucina 6 (IL-6), uma citocina pró-inflamatória. Resultado que revela uma concordância com os dados que mostram que o consumo de maiores quantidades de vegetais crucíferos está associado a baixos níveis sistêmicos de interleucina (IL-6). Fonte: Medicinal effects of Peruvian maca areview. Food Funct. 2020'.;2021-12-27
climaterio;food and text that says 'QUALIDADE DE VIDA Alguns estudos mostram que ဝ consumo de maca está associado a um alto estado de saúde desejo sexual, humor, energi em homens e mulheres com idade entre 40-70 anos. Fonte: Medicinal effects Peruvian maca areview.FoodFunct.2020 a review. Food Funct. epidium'.;2021-12-27
climaterio;one or more people and text that says 'PARA OS HOMENS Amaca demonstrou melhorar a qualidade do sêmen eo desejo sexual em homens. Fonte: The use of maca Lepi dium meyenii) to improve semen quality: Asystematicreview. review. Maturitas. 2016. Effect of epidium meyenii (MACA) sexualdesire desire anditsabsentrelationshipwithserum sabsentrlationship withserum with testosterone levels adult healthy men. Andrologia 2002'.;2021-12-27
climaterio;text that says 'COMO AMENIZAR OS SINTOMAS DA MENOPAUSA @Nutri.SamaraDias Alimentos verdes escuros cozidos Desligar telas 1h antes de deitar Controlar o estresse Chá de folha de amora Ãleo de linhaça e de gergelim'.;2022-01-07
climaterio;one or more people and text that says 'ENVELHECEMOS OS HORMÔNIOS PORQUE OS HORMÔNIOS ow CAEM PORQUE CAEM ENVELHECEMOS? DRA. VANIA CAROLINA'.;2021-12-04
climaterio;one or more people and text that says 'MENOPAUSA NÃO É DOENÇA mas requer cuidados DRA.LÚCIASTPAIV DRA. LÚCIA COSTA PAIVA GINECO GINECOLOGIA OGIA'.;2022-01-12
climaterio;text that says '5 ervas e suplementos para diminuir O estresse ASHWAGANDHA Pode aliviar a ansiedade e reduzir a sensação de estresse ERVA-CIDREIRA Pode ajudar no relaxamento, concentração e sono MANJERICÃO Pode combater o estresse apoiar a saúde adrenal L-TEANINA Pode reduzir o estresse mental e físico e melhora a ansiedade. RODIOLA Pode reduzir a sensação de fadiga e esgotamento @BERNADETENONNENMACHER'.;2022-01-28
climaterio;1 person, standing and text that says 'TERAPIA DE REPOSIÇÃO HORMONAL NA MULHER DRA. BRUNAIL Ghete'.;2022-02-03
climaterio;one or more people and text that says 'A terapia de reposição hormonal isomolecular não aumenta a chance de câncer com estradiol e progesterona!'.;2022-02-03
climaterio;text that says '10 anos desde O início dos sintomas, a chamada janela da oportunidade, é O período que deve ser iniciada a reposição DRA. BRUNAIL Ghett'.;2022-02-03
climaterio;one or more people and text that says 'A terapia de reposição hormonal tem efeito de proteção cardiovascular, proteção para doença degenerativa como Parkinson, Alzheimeir e Osteoporose.'.;2022-02-03
climaterio;one or more people and text that says 'Quando feita de maneira individualizada e em dose personalizada otimiza muito O resultado do tratamento feminino.'.;2022-02-03
climaterio;text that says 'gostou I DESSE POST? COM QUEM PRECISA SABER DISSO! DRA BRUNAH Thett'.;2022-02-03
climaterio;1 person.;2022-01-04
climaterio;one or more people, people standing and outdoors.;2022-01-15
climatechangeawareness;emperor penguin, nature and text that says '©-Sara ©-SaraJenner Sara Tenner'.;2022-03-12
climatechangeawareness;Photo by Maaike Hartjes on January 02, 2022. May be a cartoon of text that says 'birds what lovely day! f singing... sun shining... the firs+ of January... this is NOTokay! NOT ©2022 maaike hartjes'.;2022-01-02
climatechangeawareness;one or more people and text.;2021-12-30
climatechangeawareness;one or more people and text that says 'LEONARDO DiCAPRIO JENNIFER LAWRENCE ROB JONAH TYLER TIMOTHÉE RON ARIANA SCOTT CATE MORGAN HILL RYLANCE PERRY CHALAMET PERLMAN GRANDE MESCUDI BLANCHETT STREEP Don'tLook BASED ON TRULY POSSIBLE EVENTS AFILMBYADAMMcKAY'.;2021-12-28
climatechangeawareness;emperor penguin, nature and arctic.;2022-03-07
climatechangeawareness;"tree, mountain, sky and text that says '""CLIMATE CHANGE IS A CIVIL RIGHTS ISSUE."" REVEREND DR. GERALD DURLEY, WHO MARCHED WITH MARTIN LUTHER KING IN 1963'.";2022-01-17
climatechangeawareness;text that says 'Ausgang Exit Tram Marienhof zur Oberfläche togrouneve BUS WC MVG SWM Kundencenter Marienplatz Ausgang Exit'.;2022-03-13
climatechangeawareness;child, sitting, beach and ocean.;2022-01-05
climatechangeawareness;child, sitting, ocean and beach.;2022-01-05
climatechangeawareness;baby, sitting and beach.;2022-01-05
climatechangeawareness;child, sitting and beach.;2022-01-05
climatechangeawareness;text that says 'Global Temperatures Increases since 1880 (℃) 2.0 2016 Paris Climate Accord Target 1.0 Global Trend 0.5 Historical Data 0.0 -0.5 1900 1950 2000 2036 2050'.;2021-12-22
climatecontrol;"one or more people and text that says 'Quote Quote of the day "" ""This year, I would like end of Covid-19 world peace, climate control, new Xbox"" A child's etter letter to Santa.'.";2020-12-10
climatecontrol;text that says 'DEF LEVEL CLIMATE CONTROL AUTO HI AIR CON LUTO LO OFF ON OFF OFF'.;2021-05-13
climatecontrol;outdoors.;2021-08-20
climatecontrol;outdoors and tree.;2021-08-20
climatecontrol;outdoors and indoor.;2021-08-20
climatecontrol;Photo by Onkruidenier on August 18, 2021.;2021-08-20
climatecontrol;Photo by Onkruidenier on August 18, 2021. May be a closeup.;2021-08-20
climatecontrol;Photo by Onkruidenier on August 18, 2021. May be a closeup.;2021-08-20
climatecontrol;Photo by Onkruidenier on August 18, 2021.;2021-08-20
climatecontrol;Photo by Onkruidenier on August 18, 2021.;2021-08-20
climatecontrol;nature.;2021-09-21
climatecontrol;"text that says 'CLIMATE CHANGE TIMELINE app8 ""CLIMATE CHANGE ISN'T REAL"" OOPS FUCK OK, CLIMATE CHANGE IS REAL WE'RE JUST NOT CONVINCED IT'S CAUSED BY HUMANS'.";2021-02-27
climatecontrol;Photo shared by Doodah on February 03, 2021 tagging @blingscycles.;2021-02-03
climatecontrol;tree.;2021-07-17
climatecontrol;Photo by Trayci Tompkins in Dargle, KZN. May be art.;2021-06-29
climatecontrol;indoor.;2021-07-15
climateactivist;one or more people, outdoors and brick wall.;2022-02-12
climateactivist;one or more people, people standing, outdoors and text that says 'TORIES A HATE THE POOR TORIES GAVE BANKERS £1,000.000.000 TAX CUT AND SUPPORTED THE 54% INCREASE ENERGY PRICE CAPIN THE SAME WEEK.'.;2022-02-12
climateactivist;one or more people, people standing, outdoors and text that says 'WE CANT ENDS'.;2022-02-12
climateactivist;one or more people, people standing, outdoors and text that says 'HEATING IS NOT LUXURY'.;2022-02-12
climateactivist;"text that says '""Don't worry if we're doomed or not. Worry about what you stand for. And stand for it."" MARYANNAISEHEGLAR MARY ANNAISE HEGLAR'.";2021-10-18
climateactivist;elephant, outdoors and text.;2022-01-04
climateactivist;text that says 'CLIMATE CHANGE ECONOMY ECOLOGY 'Almost all systems of economic thought are premised on the idea of continued economic growth, which would be fine and dandy if we lived on infinite planet. But there's this small, niggling, inconvenient fact that the planet, is in fact, finite, and that, unlike economic theory, it is governed by physical and biological reality' GEORGE MONBIOT CLIMATE CHANGE IS REAL'.;2021-12-29
climateactivist;brick wall, outdoors and text that says 'STAND WITH UKRAINE'.;2022-03-03
climateactivist;Photo by Jessica Kleczka ♾ on March 03, 2022. May be a Twitter screenshot of text that says 'Joey Ayoub #AbolishKafala @joeyayoub I spent the entire day thinking of that Ukrainian woman who told the Russian soldier to 'take these seeds and put them in your pockets, so at least sunflowers will grow after you die''.;2022-03-03
climateactivist;Photo by Jessica Kleczka ♾ on March 03, 2022. May be a Twitter screenshot of one or more people and text that says 'Abi Wilkinson @AbiWilks Refugees from outside Europe should be greeted in Europe the way Poland is greeting refugees from Ukraine. Of course the UK, which is riddled with extreme xenophobia against Eastern Europeans, isn't even managing to welcome Ukrainian refugees 10:44 AM Feb 25, 2022'.;2022-03-03
climateactivist;Photo by Jessica Kleczka ♾ on March 03, 2022. May be a Twitter screenshot of text that says 'W: WOE PARTY. Women's Equality Party @WEP_UK Flying Ukraine' S flag while denying its people safe asylum is like clapping the NHS and social care workers while slashing their funds #DeedsNotFlags Home Office @ukhomeoffice 22h Today we re flying Ukraine's flag in support of the Ukrainian people, including those here in the UK.'.;2022-03-03
climateactivist;text that says 'Khaled Beydoun Not all refugee crises are the same. While Ukrainiar refugees deserve immediate safe haven- -so do refugees fleeing A”g”nistar and Yemen, Syria and Myanmar. Let's not lose sight of how religion, race, and namely, whiteness, figures heavily into refugee resettlement.'.;2022-03-03
climateactivist;text that says 'Harsha Walia @HarshaWalia Surreal to know Poland is setting up welcome centers for Ukranian refugees. Because Poland is also building high tech wall & detention centers & funding Polish Border Guard to block migration of mostly Yemeni, Egyptian, Syrian, Pakistani Afghan refugees as recently as today.'.;2022-03-03
climateactivist;text that says 'Waqas Tufail @_WaqasTufail No to war, but listening to commentator after commentator say 'This shouldn't be happening in the 21st century', as if Iraq and Afghanistan were not devastated with millions dead, is really raising my blood pressure. Biden is starving the people of Afghanistan *right now* ffs'.;2022-03-03
climateactivist;Photo by Jessica Kleczka ♾ on March 03, 2022. May be a Twitter screenshot of text that says 'Bill McKibben @billmckibben 1) Russia can only afford to fight because of its oil and gas 2) Russia's main weapon against Europe is its threat to cut off oil and gas 3) So it might be wise to stop using oil and gas now that we have workable alternatives 4) (Also saves the planet'.;2022-03-03
climateactivist;text that says 'Alexandria Villaseñor @AlexandriaV2005 It's not disrespectful for us to keep working and keep advocating for the climate during this crisis. Actually, it's imperative. Researchers and scholars have told us events such as this and climate collapse are linked. Our work is not a distraction, it's part of the solution.'.;2022-03-03
climateactivist;one or more people, tree and nature.;2022-02-11
climateactivist;text that says 'Your role in the climate movement What brings you joy? (what gets you up in the morning? Neglecting your joy will lead to burnout.) What you should do What are you good at? (your special skills, network, resources, & magic) What is the work that needs doing? (climate & justice solutions)'.;2022-02-11
climateactivist;text that says 'My role in the climate movement learning new things what brings me joy talking to people psychology linking social science to climate action nature connection photography international solidarity work explaining stuff research communication journalism education social media systems thinking empowering people through climate education organising adaptability public speaking community action academia public-facing work what I'm good at what is needed most'.;2022-02-11
climateactivist;text.;2022-02-11
climateactivist;text that says 'A poster designer. A Facebook event cover image creator. Got Photoshop? Use Canva? You can probably do it. Someone who is good at mindfulness and keeping situations grounded. Caretakers are essential. Someone has to do it. People to make noise. If you play a drum or have some instruments kicking about, there's a role for you. Someone has to do it. The person with the money. Maybe you don't have time but you care and have some spare cash lying about. You can fund flyers and travel expenses and food. Someone has to pay for it.'.;2022-02-11
climateactivist;text that says 'Trained in first aid but never really used it? Someone has to do it on actions. Know how to quickly transcribe or make captions for video content? omeon has to make things more accessible. A cook? A baker? Organising makes people hungry (and food sustains us). Not got the money? That's what the person with spare cash is for. Know how to make an engaging newsletter? It helps groups reach out to their members. Someone has to do it.'.;2022-02-11
climateactivist;"text that says 'Structures cause disruption but structures need to be made. If you're handy with building/craftin things, maybe that's your role. Banners! Flags! Signs! Costumes! Got a sewing machine? Someone has to make them! The point is the planet is on fire; it's flooding; it's killing people with its injustice There is a role for you, no matter how small you think it is. Someone. Has. To. Do. It.'.";2022-02-11
climateactivist;"1 person and text that says 'Marica Di Pierri, l'attivista che porta l'Italia in Tribunale per il clima: ""Il 14 dicembre inizia il Giudizio Universale""'.";2021-12-14
climateactivist;"one or more people, braids and text that says '""Women are not just victims, vulnerable to the_worst the worst effects of climate breakdown. Overwhelmingly, they are also the key to solving and leading positive climate futures."" Joycelyn Longdon, Climate in Colour'.";2022-03-08
climateactivist;"one or more people, jewelry, outdoors and text that says '""Women play a critical role in food production. Direct impacts of climate change affecting food production affect women. While we have that, we also have lot of women championing for a better environment and are playing a big role in climate action."" Anita Soina, Spice Warriors Kenya'.";2022-03-08
climateactivist;"one or more people and text that says '""We have to talk about the unique struggles of BIPOC women in the climate space. As an Asian American woman myself, my personal struggle has been around being very underestimated and undermined in this work."" ""It is due to other BIPOC women's support, collective wisdom, and nurturing energy that I've been able to keep going and create avenues for others to do this work as well."" Kristy Drutman, @browngirl_green'.";2022-03-08
climateactivist;"one or more people, flower and text that says '""Our planet is being treated the way women have been treated all throughout history exploited, extracted from, and disrespected in so many ways. You cannot separate the fight for equality for women and the fight to save our planet, they are the same fight."" Jamie Margolin, Zero Hour'.";2022-03-08
climateactivist;"‎one or more people, braids, eyeglasses, outdoors and ‎text that says '‎ןI۱ ""Women are leading the way in developing equitable climate solutions. As a result, women's empowerment is deeply connected the protection of our planet and one cannot be achieved without the other."" Arielle King, Intersectional Environmentalist‎'‎‎.";2022-03-08
climateactivist;"one or more people and text that says '""Equality won't be handed down to us. It won't just appear. If we want it, we need to fight for it"" Luisa Neubauer, Fridays for Future'.";2022-03-08
climateactivist;"one or more people, people standing, outdoors and text that says '""이이스스 4٠0/0١4 시시시 시시시스스스! ""In addition to their gendered burdens, women of the Global South have been forced to carry the additional burden and effort of saving humanity's future, when it should be shared by us all. It's high time the rest of us step up.' Padmini Gopal, @climatekarma'.";2022-03-08
climateactivist;"one or more people, braids, outdoors and text that says '""We are drowning in promises. Commitments will not reduce CO2. Promises will not stop the suffering of people. Pledges will not stop the planet from warming. Only immediate and drastic action will pull us back from the abyss."" Vanessa Nakate, Rise Up Africa'.";2022-03-08
climateactivist;"one or more people, people standing and text that says 'and to be ""Women and girls are, continue disproportionately affected by the impacts of climate change. Women, especially women of colour are more vulnerable to the consequences of climate change but are so often excluded from the decision-making process; gender justice is not possible without women' meaningful participation, decision-making power and involvement."" Veronica Mulenga, VroaM,Yo Youth Climate Save Zambia'.";2022-03-08
climateactivist;"one or more people, headscarf and text that says '""The or be road to climate justice can not be concurring, or control, fighting, it must harmony, love, and gentleness. We must learn from the people who are still alive after power and greed tried to kill them over and over again. We must learn that harmony, and gentleness is not weakness or nomadic simplicity, these are the traits of our mother. These are the things that have kept us alive. Ayisha Siddiqa, Polluters Out'.";2022-03-08
climateactivist;text that says 'The earth can produce enough for everyone's need, but not enough for everyone's veryone'sgred greed. Goodfair @secondhand. sustainability'.;2021-11-01
climatesolutions;1 person and flower.;2021-08-13
climatesolutions;teasel.;2021-10-22
climatesolutions;flower.;2021-10-22
climatesolutions;food.;2021-10-22
climatesolutions;text.;2021-11-13
climatesolutions;text that says 'Did you know? Indigenous resistance has stopped or delayed the equivalent of 25% of annual US and Canadian greenhouse gas emissions. Indigenous Environmental Network and Oil Change International Û Change International Indigenous Environmental Follow @OnCanadaProject'.;2021-11-13
climatesolutions;text that says 'EARTH THANT E not Five fossil fuel projects shut down by Indigenous resistance 1. Keystone Pipeline 2. Teck Frontier Tar Sands Oil Mine 3. Pierre River Tar Sands Oil Mine 4. Northern Gateway Oil Pipeline 5. Energy East Oil Pipeline Û Indigenous Environmenta Oil Change I Follow @OnCanadaProiect'.;2021-11-13
climatesolutions;text that says 'We're still watching: Enbridge Line 3 The Line 3 expansion pipeline would move tar sands oil from Alberta to Minnesota. This directly threatens treaty rights, putting drinking water, sacred wild rice beds and community health at risk. The Mississippi River Band of Ojibwe and others are leading the fight against the project. Û Follow@OnCanadaProject'.;2021-11-13
climatesolutions;text that says 'We're still watching: Coastal Gas Link Pipeline This pipeline would carry fracked gas from northeastern BC through the Rockies to a proposed LNG facility near Kitimat, BC. All 13 house chiefs of the five Wet'suwet'en clans oppose the pipeline. In September, the Gidimt' clan set up barricades on Wet' suwet en territory to protect the land from Coastal Gas drilling. Û Follow@OnCanadaProje'.;2021-11-13
climatesolutions;text that says 'We're still watching: TMX Remember the pipeline Justin Trudeau bought right after declaring a climate emergency? TMX, baby. The Tsleil-Waututh First Nation opposes it due to lack of consultation and the harm it would cause to communities and climate. Kinder Morgan (the original owners) and insurers have backed out in response to ongoing protests and lawsuits. It's time for the government to follow suit and shut it down. Û Follow@OnCanadaProje'.;2021-11-13
climatesolutions;text that says 'We're still watching: Enbridge Line 5 Line 5 transports 22 million gallons of oil every day from Wisconsin to Ontario, running through Bad River Band Territory. Michigan ordered Enbridge to shut it down because of the risk of this aging pipeline leaking in a section running beneath the Straits of Mackinac in the Great Lakes. (Note: it has leaked 29 times in the past 50 years) Enbridge promptly ignored this order and Canada invoked a treaty to back Enbridge and push the pipeline (Cool Canada, so these treaties you uphold?). Sierra WisPuc Follow@OnCanadaProject'.;2021-11-13
climatesolutions;text.;2021-11-13
climatesolutions;text that says 'Indigenous Leadership Our best chance at sustainable and holistic healing and preservation of our planet so that our species can continue to survive is Indigenous leadership on solutions to the climate crisis. Indigenous communities have shown, against all colonial barriers and odds, actual leadership and success on climate and nature protection. We're calling on you, our community, to reach out to your elected officials and demand that they centre Indigenous leadership when discussing the future of our planet. Follow@OnCanadaProjec'.;2021-11-13
climatesolutions;text that says 'Learn more & do more 1. Google each pipeline to learn more and get involved 2. Donate to Indigenous communities on the front lines 3. Show up physically, if you're able to, to support Indigenous land defenders as they work to protect our planet 4. Keep contacting all evels of elected officials and government and demand they respect Indigenous sovereignty & centre Indigenous leadership in climate solutions www.oncanadaproject.ca/finyourrep Follow@OnCanadaProie'.;2021-11-13
climatesolutions;nature.;2021-11-15
climatesolutions;text that says 'one There only of me, but I promise will do whatever my power to slow down the climate crisis! is in EARTHLY EDUCATION'.;2021-11-04
climatesolutions;text that says 'ALL OF THE UK'S ENERGY WILL COME FROM CLEAN ENERGY SOURCES BY 2035'.;2021-10-11
climatesolutions;text that says 'NEW CARS AND VANS POWERED WHOLLY BY PETROL AND DIESEL WILLNOT BE SOLD IN THE UK FROM 2030'.;2021-10-11
climatesolutions;text that says 'CLARA AMFO AND DERMOT O'LEARY ARE WORKING WITH PRINCE WILLIAM TO ANNOUNCE THE £1M EARTHSHOT FUND TO SUPPORT CLIMATE CHANGE SOLUTIONS'.;2021-10-11
climatesolutions;text that says 'THIS IS MAINSTREAM NOW, AND IT IS so EXCITING! GO UK!'.;2021-10-11
climatesolutions;1 person and text that says 'Here in Maricopa County, we have an air quality department [and] we have a flood control district. 'Who's been in charge of heat?' is the question we found ourselves asking. David Hondula Director of the Phoenix Office of Heat Response & Mitigation @coppercourier'.;2021-11-17
climatesolutions;outdoors and text that says 'Sponge City: An urban landscape designed to retain and filter water.'.;2022-02-26
climatejusticenow;"Photo by Rick Frausto 🌎 in COP26 and beyond with @vanessanakate1. May be an illustration of one or more people and text that says 'FP40602020 ""WHEN I SAY IM THAT FIGHTER MEAN A CLIMATE ACTIVIST FOR THE AND EVERYONE! A BETTER FUTURE PLANET *Vanessa Nakate'.";2021-11-11
climatejusticenow;animal and text that says 'GLOBAL LEADERS MUST TAKE URGENT ACTION TO REDUCE MEAT CONSUMPTION COP26 THE WORLD IS WATCHING'.;2021-10-31
climatejusticenow;person, child, standing and outdoors.;2021-11-07
climatejusticenow;one or more people and outdoors.;2021-11-07
climatejusticenow;Photo by James Graham on November 07, 2021. May be a closeup of one or more people, people standing and outdoors.;2021-11-07
climatejusticenow;Photo by James Graham on November 07, 2021. May be a closeup of one or more people and outdoors.;2021-11-07
climatejusticenow;outdoors.;2021-11-07
climatejusticenow;one or more people and outdoors.;2021-11-07
climatejusticenow;one or more people and flower.;2021-11-07
climatejusticenow;text that says 'CLIMATE CHANGE HAS A SIGNIFICANTLY WORSE IMPACT ON VULNERABLE COMMUNITIES.'.;2022-03-01
climatejusticenow;text that says 'SOME OF THE WORLD'S POOREST AND LOWEST CARBON-EMITTING COUNTRIES ARE SUFFERING THE MOST FROM CLIMATE CHANGE. THE HARMS OF THE CRISIS ARE FELT PRIMARILY ON THOSE WHO'VE DONE LITTLE NOTHING TO CONTRIBUTE To THE PROBLEM. OR'.;2022-03-01
climatejusticenow;text that says 'BE COMMUNITIES το ADAPT To EVERY IMPACT WORSENED BY CLIMATE CHANGE. WHILE WEALTHIER NATIONS HAVE A MUCH BETTER CAPACITY_ To PROTECT THEMSELVES FROM CLIMATE IMPACTS.'.;2022-03-01
climatejusticenow;text that says 'FAR GREATER EFFORTS ARE NEEDED ACROSS WEALTHIER NATIONS το ENSURE VULNERABLE COMMUNITIES DO NOT SUFFER DISPROPORTIONATELY FROM CLIMATE INEQUALITY. VERONICA MULENGA'.;2022-03-01
climatejusticenow;1 person and text.;2021-11-25
climatejusticenow;12 people, people standing and outdoors.;2021-09-24
climatejusticenow;one or more people, people standing and outdoors.;2021-09-24
climatejusticenow;one or more people, people standing, outdoors and tree.;2021-09-24
climatejusticenow;one or more people, people standing, outdoors and text that says 'GRANDPARENTS ARENTS IN SOLIDARITY STUDENT SAVE STRIKERS THE FUTURE'.;2021-09-24
climatejusticenow;one or more people, people standing and outdoors.;2021-09-24
climatejusticenow;one or more people, people standing and outdoors.;2021-09-24
climatejusticenow;one or more people, people standing and outdoors.;2021-09-24
climatejusticenow;one or more people, people standing, outdoors and text that says 'ARCHITECTS DECLARE LARE ARCHIT TECTS DECLARE LET'S BUOLD GREENER UTURE'.;2021-09-24
climatejusticenow;"one or more people, outdoors and text that says 'THIS IS FINE. BREEAM ""Net Zero 2050"" Build Back Better'.";2021-09-24
climatejusticenow;outdoors and text that says 'LESS, FIX MORE! X ORE STE SS EAL HTTOREPAR NOW!'.;2021-09-24
climatejusticenow;one or more people, people standing and outdoors.;2021-11-06
climatejusticenow;standing and text that says '@BLOOMDOOMMAG Reality Check: Is the UK's Climate COP26 Policy on Track with its Climate Goals? 米米米木 米木 木 米米 DONTGO STOP 米 BREAKING MY NOWj MAKE PLANET OUR n GREAT AGAİN CLIMATE AREPHeK JUSTICE NGW!'.;2021-11-12
climatereality;tree and text that says 'Do you think humans Communicate with each other? How could they? They don't have roots. Yeah, I guess it's a crazy idea Koppp @ww'.;2021-09-09
climatereality;one or more people and text that says 'If you have the power to turn another planet into Earth, then you have the power to turn Earth back into Earth. -Neil deGrasse Tyson'.;2021-09-17
climatereality;"Photo shared by Studio Petrichor on October 06, 2021 tagging @abu_de_pooter_y_thumbelina, @laurenrandolph8, @leighlaughing, and @chrisottelandscape. May be a cartoon of cat and text that says 'HOW AMAZON WAS INVENTED menair ""Any ideas on how to get more cardboard boxes into our homes?""'.";2021-10-06
climatereality;Photo by Studio Petrichor on October 06, 2021.;2021-10-06
climatereality;one or more people, people standing, tree and outdoors.;2021-10-06
climatereality;standing, outdoors and tree.;2021-10-06
climatereality;tree and grass.;2021-10-06
climatereality;one or more people, people standing and outdoors.;2021-10-06
climatereality;"text that says 'CLIMATE CHANGE TIMELINE app8 ""CLIMATE CHANGE ISN'T REAL"" OOPS FUCK OK, CLIMATE CHANGE IS REAL WE'RE JUST NOT CONVINCED IT'S CAUSED BY HUMANS'.";2021-02-27
climatereality;nature, tree and body of water.;2021-04-26
climatereality;nature and tree.;2021-04-26
climatereality;outdoors.;2021-04-26
climatereality;outdoors and tree.;2021-04-26
